iteration,solution,heuristic,new_solution,cost,new_cost,improvement
0,0110000101,LH3,0101000101,9.485281374238571,6.656854249492381,2.8284271247461907
1,0101000101,LH3,0101001001,6.656854249492381,5.242640687119286,1.414213562373095
2,0101001001,LH3,0101011000,5.242640687119286,4.82842712474619,0.4142135623730958
3,0101011000,LH3,0101011000,4.82842712474619,4.82842712474619,0.0
4,0101011000,LH3,0101011000,4.82842712474619,4.82842712474619,0.0
5,0101011000,LH3,0101011000,4.82842712474619,4.82842712474619,0.0
